KCMO or Not,Census Tract,East-West Coordinate,North-South Coordinate,1940 Population,1950 Population,1960 Population,1970 Population,1980 Population,1990 Population,2000 Population,2010 Population,1940 Housing Units,1950 Housing Units,1960 Housing Units,1970 Housing Units,1980 Housing Units,1990 Housing Units,2000 Housing Units,2010 Housing Units,1970 Occupied Housing Units,1980 Occupied Housing Units,1990 Occupied Housing Units,2000 Occupied Housing Units,2010 Occupied Housing Units,1970 Vacant Housing Units,1980 Vacant Housing Units,1990 Vacant Housing Units,2000 Vacant Housing Units,2010 Vacant Housing Units,1970 Households,1980 Households,1990 Households,2000 Households,2010 Households,1970 Group Quarters Population,1980 Group Quarters Population,1990 Group Quarters Population,2000 Group Quarters Population,2010 Group Quarters Population
KCMO,601,2771674,971518,42,42,42,42,42,42,104,197,16,16,16,16,16,16,79,27,15,15,15,70,22,1,1,1,9,5,15,15,15,70,22,0,0,0,0,145
KCMO,202.01,2769244,1092055,1260,1873,3797,4322,4061,4193,4767,5004,397,590,1140,1469,1805,2210,2354,2488,1423,1709,1930,2238,2242,46,96,280,116,246,1423,1709,1930,2238,2242,29,16,0,3,0
KCMO,202.02,2761381,1095073,632,940,1905,2622,2373,2750,2906,3285,199,296,571,976,922,1114,1244,1597,859,880,1084,1202,1482,117,42,30,42,115,859,880,1084,1202,1482,0,0,11,0,5
KCMO,203,2768859,1100172,1279,1902,3855,5798,5411,5387,5213,5182,403,599,1136,1944,2193,2452,2501,2521,1881,2140,2301,2318,2230,63,53,151,183,291,1881,2140,2301,2318,2230,10,40,50,38,35
KCMO,204,2772599,1096332,627,932,1890,2416,2783,2483,2645,2465,197,294,602,992,1237,1248,1237,1234,856,1186,1143,1192,1102,136,51,105,45,132,856,1186,1143,1192,1102,0,0,0,0,0
KCMO,205,2775675,1091068,1594,2370,3931,5338,5496,5621,5517,5471,516,767,1236,1734,2219,2373,2401,2409,1691,2112,2250,2309,2230,43,107,123,92,179,1691,2112,2250,2309,2230,8,0,9,0,0
KCMO,206.02,2784444,1089531,305,453,1453,3094,3532,4155,3705,4098,87,129,415,899,1252,1696,1651,1928,891,1220,1605,1554,1761,8,32,91,97,167,891,1220,1605,1554,1761,0,0,0,0,35
KCMO,206.03,2786042,1100975,558,829,2658,4132,3650,3311,3347,3492,159,236,760,1183,1271,1251,1367,1442,1163,1224,1195,1297,1330,20,47,56,70,112,1163,1224,1195,1297,1330,29,26,19,9,0
KCMO,206.04,2784455,1094858,894,1328,4258,5263,4812,4500,4415,4706,255,379,1217,1494,1691,1732,1873,2073,1467,1642,1656,1799,1917,27,49,76,74,156,1467,1642,1656,1799,1917,0,0,0,0,0
KCMO,209.01,2778818,1102444,2011,2990,4961,5655,4867,5178,5620,5658,651,968,1374,1764,1891,2118,2336,2489,1728,1842,2037,2280,2347,36,49,81,56,142,1728,1842,2037,2280,2347,8,0,0,7,8
